Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-04-01 00:00:00+05:30,27.374577523781063,27.877909985703827,27.02559983797031,27.757110595703125,7101181,0.0,0.0
2013-04-02 00:00:00+05:30,27.51550471409891,28.71679064026538,27.51550471409891,28.582569122314453,7744312,0.0,0.0
2013-04-03 00:00:00+05:30,28.575858920688557,30.931453313807527,28.334260180985233,29.367769241333008,20720911,0.0,0.0
2013-04-04 00:00:00+05:30,29.07247982471797,29.35434837388085,27.877906555871235,28.1060848236084,11975516,0.0,0.0
2013-04-05 00:00:00+05:30,27.95844265278199,29.11275293505287,27.783954646623286,28.4349308013916,9073067,0.0,0.0
2013-04-08 00:00:00+05:30,28.589285050993286,28.97853085962772,27.93159783114425,28.213464736938477,6775270,0.0,0.0
2013-04-09 00:00:00+05:30,28.455063013796604,29.246973430815956,27.864486574618436,28.079242706298828,9288549,0.0,0.0
2013-04-10 00:00:00+05:30,28.24030847309815,28.502040472227986,26.596087951398378,27.589330673217773,16178594,0.0,0.0
2013-04-11 00:00:00+05:30,27.730266080491536,28.173198844118378,27.307464878128528,27.84435272216797,9148265,0.0,0.0
2013-04-12 00:00:00+05:30,27.515508970493915,28.434929851189356,27.22021991507055,28.25373077392578,7896490,0.0,0.0
2013-04-15 00:00:00+05:30,27.918177083682156,28.93155143753312,27.65644339581099,28.528886795043945,7901807,0.0,0.0
2013-04-16 00:00:00+05:30,28.589284406786273,29.649637895196893,28.334263485138365,29.495283126831055,8580789,0.0,0.0
2013-04-17 00:00:00+05:30,29.649639587860698,29.99861560582784,28.750351893362087,28.931550979614258,10492398,0.0,0.0
2013-04-18 00:00:00+05:30,28.837591837971807,29.683190795274516,28.361105418983122,29.548969268798828,10116492,0.0,0.0
2013-04-22 00:00:00+05:30,29.52884180774703,30.36101877495273,28.951689131165352,30.126131057739258,8128243,0.0,0.0
2013-04-23 00:00:00+05:30,30.199948684439505,30.52208036581285,28.730216207161465,28.98523712158203,21714628,0.0,0.0
2013-04-25 00:00:00+05:30,28.824171280895357,29.24697245320395,28.394662372397562,28.98523712158203,12970988,0.0,0.0
